date,annual_rate
2001-12-01,0.08990000000000001
2002-01-01,0.09519999999999999
2002-02-01,0.09300000000000001
2002-03-01,0.102
2002-04-01,0.10300000000000001
2002-05-01,0.1054
2002-06-01,0.106
2002-07-01,0.10869999999999999
2002-08-01,0.1116
2002-09-01,0.11960000000000001
2002-10-01,0.1183
2002-11-01,0.11449999999999999
2002-12-01,0.11560000000000001
2003-01-01,0.1131
2003-02-01,0.1119
2003-03-01,0.11199999999999999
2003-04-01,0.11259999999999999
2003-05-01,0.1076
2003-06-01,0.1042
2003-07-01,0.10800000000000001
2003-08-01,0.10529999999999999
2003-09-01,0.08990000000000001
2003-10-01,0.07139999999999999
2003-11-01,0.0682
2003-12-01,0.06709999999999999
2004-01-01,0.068
2004-02-01,0.067
2004-03-01,0.0673
2004-04-01,0.0703
2004-05-01,0.0688
2004-06-01,0.0691
2004-07-01,0.0692
2004-08-01,0.0637
2004-09-01,0.0617
2004-10-01,0.0605
2004-11-01,0.0604
2004-12-01,0.0605
2005-01-01,0.0608
2005-02-01,0.060700000000000004
2005-03-01,0.0608
2005-04-01,0.061200000000000004
2005-05-01,0.0596
2005-06-01,0.0588
2005-07-01,0.0587
2005-08-01,0.0593
2005-09-01,0.0592
2005-10-01,0.0599
2005-11-01,0.0602
2005-12-01,0.066
2006-01-01,0.067
2006-02-01,0.0655
2006-03-01,0.0666
2006-04-01,0.06559999999999999
2006-05-01,0.06570000000000001
2006-06-01,0.0668
2006-07-01,0.0683
2006-08-01,0.0736
2006-09-01,0.07629999999999999
2006-10-01,0.07730000000000001
2006-11-01,0.0803
2006-12-01,0.084
2007-01-01,0.0851
2007-02-01,0.0859
2007-03-01,0.0862
2007-04-01,0.0864
2007-05-01,0.0866
2007-06-01,0.0888
2007-07-01,0.0897
2007-08-01,0.09369999999999999
2007-09-01,0.0943
2007-10-01,0.0984
2007-11-01,0.1
2007-12-01,0.1035
2008-01-01,0.10830000000000001
2008-02-01,0.11
2008-03-01,0.1104
2008-04-01,0.1128
2008-05-01,0.1139
2008-06-01,0.1174
2008-07-01,0.1201
2008-08-01,0.1193
2008-09-01,0.1208
2008-10-01,0.1225
2008-11-01,0.1208
2008-12-01,0.11720000000000001
2009-01-01,0.1134
2009-02-01,0.1059
2009-03-01,0.107
2009-04-01,0.09210000000000002
2009-05-01,0.0832
2009-06-01,0.0791
2009-07-01,0.0788
2009-08-01,0.0756
2009-09-01,0.0718
2009-10-01,0.0725
2009-11-01,0.073
2009-12-01,0.07200000000000001
2010-01-01,0.0722
2010-02-01,0.0722
2010-03-01,0.0706
2010-04-01,0.0679
2010-05-01,0.0676
2010-06-01,0.0675
2010-07-01,0.0672
2010-08-01,0.06570000000000001
2010-09-01,0.0625
2010-10-01,0.0542
2010-11-01,0.0536
2010-12-01,0.0546
2011-01-01,0.057699999999999994
2011-02-01,0.058899999999999994
2011-03-01,0.059500000000000004
2011-04-01,0.0564
2011-05-01,0.056600000000000004
2011-06-01,0.057
2011-07-01,0.0559
2011-08-01,0.056100000000000004
2011-09-01,0.0562
2011-10-01,0.0552
2011-11-01,0.0553
2011-12-01,0.0559
2012-01-01,0.0574
2012-02-01,0.057
2012-03-01,0.0572
2012-04-01,0.0571
2012-05-01,0.0582
2012-06-01,0.0554
2012-07-01,0.0536
2012-08-01,0.052199999999999996
2012-09-01,0.051399999999999994
2012-10-01,0.0512
2012-11-01,0.0508
2012-12-01,0.0509
2013-01-01,0.0509
2013-02-01,0.0508
2013-03-01,0.051
2013-04-01,0.051100000000000007
2013-05-01,0.0512
2013-06-01,0.051399999999999994
2013-07-01,0.051699999999999996
2013-08-01,0.0518
2013-09-01,0.0519
2013-10-01,0.052000000000000005
2013-11-01,0.0521
2013-12-01,0.0524
2014-01-01,0.0536
2014-02-01,0.0558
2014-03-01,0.0548
2014-04-01,0.054900000000000004
2014-05-01,0.0579
2014-06-01,0.0565
2014-07-01,0.057699999999999994
2014-08-01,0.0605
2014-09-01,0.060899999999999996
2014-10-01,0.0608
2014-11-01,0.0613
2014-12-01,0.061399999999999996
2015-01-01,0.0613
2015-02-01,0.061200000000000004
2015-03-01,0.061500000000000006
2015-04-01,0.0599
2015-05-01,0.061399999999999996
2015-06-01,0.061500000000000006
2015-07-01,0.0616
2015-08-01,0.0605
2015-09-01,0.0611
2015-10-01,0.060599999999999994
2015-11-01,0.06269999999999999
2015-12-01,0.06509999999999999
2016-01-01,0.0662
2016-02-01,0.069
2016-03-01,0.0707
2016-04-01,0.0724
2016-05-01,0.0716
2016-06-01,0.0722
2016-07-01,0.0719
2016-08-01,0.0727
2016-09-01,0.0732
2016-10-01,0.0731
2016-11-01,0.0737
2016-12-01,0.0739
2017-01-01,0.0736
2017-02-01,0.0736
2017-03-01,0.0739
2017-04-01,0.0733
2017-05-01,0.07400000000000001
2017-06-01,0.0739
2017-07-01,0.0721
2017-08-01,0.0711
2017-09-01,0.0713
2017-10-01,0.0704
2017-11-01,0.0708
2017-12-01,0.07150000000000001
2018-01-01,0.0716
2018-02-01,0.0711
2018-03-01,0.0705
2018-04-01,0.0695
2018-05-01,0.0691
2018-06-01,0.0692
2018-07-01,0.0695
2018-08-01,0.0696
2018-09-01,0.06860000000000001
2018-10-01,0.0689
2018-11-01,0.0709
2018-12-01,0.0713
2019-01-01,0.0716
2019-02-01,0.0712
2019-03-01,0.07150000000000001
2019-04-01,0.0717
2019-05-01,0.0703
2019-06-01,0.07150000000000001
2019-07-01,0.07
2019-08-01,0.0698
2019-09-01,0.0692
2019-10-01,0.0676
2019-11-01,0.0688
2019-12-01,0.0678
2020-01-01,0.068
2020-02-01,0.0672
2020-03-01,0.061399999999999996
2020-04-01,0.0525
2020-05-01,0.04769999999999999
2020-06-01,0.045
2020-07-01,0.0437
2020-08-01,0.042199999999999994
2020-09-01,0.0408
2020-10-01,0.0394
2020-11-01,0.038900000000000004
2020-12-01,0.038900000000000004
2021-01-01,0.038
2021-02-01,0.0375
2021-03-01,0.0374
2021-04-01,0.0377
2021-05-01,0.0379
2021-06-01,0.038
2021-07-01,0.0379
2021-08-01,0.0378
2021-09-01,0.038
2021-10-01,0.0381
2021-11-01,0.0397
2021-12-01,0.0398
2022-01-01,0.041100000000000005
2022-02-01,0.042199999999999994
2022-03-01,0.0441
2022-04-01,0.0444
2022-05-01,0.047400000000000005
2022-06-01,0.049100000000000005
2022-07-01,0.0533
2022-08-01,0.0519
2022-09-01,0.055999999999999994
2022-10-01,0.0571
2022-11-01,0.0599
2022-12-01,0.061500000000000006
2023-01-01,0.0581
2023-02-01,0.0596
2023-03-01,0.0642
2023-04-01,0.0643
2023-05-01,0.0674
2023-06-01,0.068
2023-07-01,0.0681
2023-08-01,0.06860000000000001
2023-09-01,0.069
2023-10-01,0.0694
2023-11-01,0.0696
2023-12-01,0.0719
2024-01-01,0.0719
2024-02-01,0.0717
2024-03-01,0.0727
2024-04-01,0.0722
2024-05-01,0.08439999999999999
2024-06-01,0.0842
2024-07-01,0.0843
2024-08-01,0.0842
2024-09-01,0.08259999999999999
2024-10-01,0.0816
2024-11-01,0.08070000000000001
2024-12-01,0.0799
2025-01-01,0.0788
2025-02-01,0.0785
2025-03-01,0.07420833333333329
